Tweet,Date Created,Subjectivity,Polarity,Sentiment
JUST IN: Fourth coronavirus death in Belgium,2020-03-14 10:35:48,0.0,0.0,neutral
"BREAKING: 97 new coronavirus deaths in Iran, raising the death toll to 611.",2020-03-14 10:31:10,0.45454545454545453,0.13636363636363635,positive
JUST IN: Saudi Arabia suspends international flights for the next two weeks amid coronavirus concerns,2020-03-14 03:55:44,0.0,0.0,neutral
JUST IN: 13 new coronavirus deaths in China,2020-03-14 02:26:14,0.45454545454545453,0.13636363636363635,positive
JUST IN: Brazil's ambassador to the US tests positive for coronavirus,2020-03-14 02:14:00,0.5454545454545454,0.22727272727272727,positive
JUST IN: 66 new coronavirus deaths in Spain,2020-03-14 01:47:51,0.45454545454545453,0.13636363636363635,positive
JUST IN: Six new coronavirus deaths in Washington state,2020-03-13 22:05:46,0.45454545454545453,0.13636363636363635,positive
BREAKING: President Trump declares national emergency over coronavirus outbreak,2020-03-13 19:34:31,0.0,0.0,neutral
"JUST IN: 18 new coronavirus deaths in France, raising the death toll to 79",2020-03-13 19:18:26,0.45454545454545453,0.13636363636363635,positive
JUST IN: Global coronavirus death toll hits 5000,2020-03-13 11:40:40,0.0,0.0,neutral
BREAKING: Iran coronavirus death toll rises to 514,2020-03-13 10:55:22,0.0,0.0,neutral
JUST IN: Number of coronavirus cases in Denmark rises to 785,2020-03-13 10:06:45,0.0,0.0,neutral
"JUST IN: Everton player reported coronavirus symptoms, leading the entire first-team squad to self-isolate.",2020-03-13 09:28:20,0.625,0.0,neutral
JUST IN: Second coronavirus death in Indonesia,2020-03-13 08:17:51,0.0,0.0,neutral
JUST IN: First case of coronavirus in Kenya,2020-03-13 07:38:21,0.3333333333333333,0.25,positive
"JUST IN: Peter Dutton, Australia's Home Minister who tested positive for coronavirus, attended a cabinet meeting in… https://t.co/3ubxbzkEmW",2020-03-13 07:25:35,0.5454545454545454,0.22727272727272727,positive
BREAKING: Australia's Home Affairs Minister Peter Dutton tests positive for coronavirus,2020-03-13 06:54:21,0.5454545454545454,0.22727272727272727,positive
JUST IN: IPL matches in Delhi to be cancelled due to coronavirus,2020-03-13 06:50:40,0.375,-0.125,negative
"Most coronavirus deaths.

China: 3176
Italy: 1016
Iran: 429
Spain: 87
South Korea: 67
France: 61
US: 41
Japan: 17
U… https://t.co/o0fSAwYuzK",2020-03-13 04:55:41,0.5,0.5,positive
JUST IN: Australia's PM says there is growing evidence of 'greater community transmission' of coronavirus throughout Australia,2020-03-13 04:13:55,0.5,0.5,positive
"BREAKING: Sophie Trudeau, wife of Canada's PM, tests positive for coronavirus.",2020-03-13 02:16:23,0.5454545454545454,0.22727272727272727,positive
BREAKING: Member of the Philippines representation at the United Nations tests positive for coronavirus,2020-03-13 00:55:35,0.5454545454545454,0.22727272727272727,positive
JUST IN: 17 new coronavirus cases in Saudi Arabia,2020-03-13 00:21:58,0.45454545454545453,0.13636363636363635,positive
JUST IN: The Mormon Church is suspending gatherings worldwide due to coronavirus,2020-03-12 23:26:13,0.375,-0.125,negative
BREAKING: Arsenal manager Mikel Arteta tests positive for coronavirus,2020-03-12 22:22:18,0.5454545454545454,0.22727272727272727,positive
BREAKING: Belgium to close all schools and restaurants amid coronavirus outbreak,2020-03-12 21:49:55,0.0,0.0,neutral
JUST IN: Disneyland in California set to close amid coronavirus concerns,2020-03-12 20:31:07,0.0,0.0,neutral
JUST IN: Lindsey Graham is going into self-quarantine amid possible coronavirus exposure,2020-03-12 20:29:22,1.0,0.0,neutral
BREAKING: New York City declares state of emergency over coronavirus,2020-03-12 20:20:20,0.45454545454545453,0.13636363636363635,positive
BREAKING: Churches in Rome will be closed until April amid coronavirus outbreak,2020-03-12 19:47:15,0.1,-0.1,negative
JUST IN: First coronavirus death in Norway,2020-03-12 18:20:27,0.3333333333333333,0.25,positive
JUST IN: Senior advisor of Iran's Supreme Leader tests positive for coronavirus,2020-03-12 18:18:14,0.5454545454545454,0.22727272727272727,positive
BREAKING: 189 new coronavirus deaths in Italy,2020-03-12 18:07:36,0.45454545454545453,0.13636363636363635,positive
BREAKING: 31 new coronavirus deaths in Spain today,2020-03-12 18:06:43,0.45454545454545453,0.13636363636363635,positive
JUST IN: Norway announces it will close schools as part of measures to deal with coronavirus,2020-03-12 11:50:35,0.0,0.0,neutral
JUST IN: First coronavirus death in Poland,2020-03-12 11:45:24,0.3333333333333333,0.25,positive
JUST IN: McLaren pull out of Australian Grand Prix after team member tests positive for coronavirus,2020-03-12 11:31:58,0.5151515151515151,0.24242424242424243,positive
FOOTBALL: Real Madrid's football team has gone into quarantine after a Real Madrid basketball player tested positive for coronavirus,2020-03-12 11:08:48,0.38181818181818183,0.2090909090909091,positive
BREAKING: Chief of the WHO says coronavirus outbreak is a 'controllable pandemic' if countries take appropriate measures,2020-03-12 11:01:32,0.5,0.5,positive
JUST IN: Real Madrid basketball player tests positive for coronavirus,2020-03-12 10:56:41,0.42272727272727273,0.21363636363636362,positive
"JUST IN: 1075 new coronavirus cases in Iran over the past 24 hours, as death toll rises to 429.",2020-03-12 10:35:23,0.3522727272727273,-0.05681818181818182,negative
JUST IN: 99 new coronavirus cases in Denmark,2020-03-12 09:39:34,0.45454545454545453,0.13636363636363635,positive
BREAKING: China’s virus advisor says he expects the coronavirus pandemic to be over by this June,2020-03-12 09:20:00,0.0,0.0,neutral
JUST IN: First coronavirus death in Algeria,2020-03-12 08:02:31,0.3333333333333333,0.25,positive
BREAKING: First coronavirus death in Greece,2020-03-12 04:31:58,0.3333333333333333,0.25,positive
JUST IN: US government tells its nationals to reconsider travel abroad because of coronavirus,2020-03-12 03:49:28,0.0,0.0,neutral
UNITED STATES: Staff member in the office of Senator Maria Cantwell has tested positive for coronavirus,2020-03-12 02:20:03,0.5454545454545454,0.22727272727272727,positive
JUST IN: Trump cancels events in Colorado and Nevada amid coronavirus outbreak,2020-03-12 01:42:36,0.0,0.0,neutral
BREAKING: Players from the Utah Jazz and OKC Thunder have been put in quarantine after Rudy Gobert tested positive for coronavirus,2020-03-12 01:35:32,0.5454545454545454,0.22727272727272727,positive
BREAKING: Utah Jazz All-Star Rudy Gobert tests positive for coronavirus,2020-03-12 01:32:54,0.5454545454545454,0.22727272727272727,positive
JUST IN: Tom Hanks and wife Rita Wilson tested positive for coronavirus while in Australia,2020-03-12 01:21:47,0.5454545454545454,0.22727272727272727,positive
JUST IN: Tom Hanks and his wife Rita Wilson have tested positive for coronavirus,2020-03-12 01:17:11,0.5454545454545454,0.22727272727272727,positive
JUST IN: Tom Hanks and his wife have tested positive for coronavirus,2020-03-12 01:15:24,0.5454545454545454,0.22727272727272727,positive
"BREAKING: Trump says coronavirus risk is 'very, very low' in the United States",2020-03-12 01:07:31,0.39,0.0,neutral
JUST IN: 11 new coronavirus deaths in China,2020-03-12 00:47:06,0.45454545454545453,0.13636363636363635,positive
JUST IN: Italian team Inter Milan suspends all competitive activity amid coronavirus outbreak,2020-03-12 00:25:44,0.0,0.0,neutral
BREAKING: The NBA is leaning towards preventing fans from attending games amid coronavirus fears,2020-03-12 00:21:01,0.0,0.0,neutral
JUST IN: CME set to close its Chicago trading floor by the end of the week due to coronavirus,2020-03-11 22:48:39,0.375,-0.125,negative
JUST IN: State of emergency declared in Arizona over coronavirus,2020-03-11 22:22:33,0.0,0.0,neutral
JUST IN: Juventus player Daniele Rugani tests positive for coronavirus,2020-03-11 22:06:45,0.5454545454545454,0.22727272727272727,positive
JUST IN: State of emergency declared in Washington D.C. over coronavirus concerns,2020-03-11 21:25:13,0.0,0.0,neutral
"ITALY

- 196 new coronavirus deaths today, the highest daily toll recorded anywhere in the world (including China)… https://t.co/8gKxbG7hwz",2020-03-11 21:05:09,0.22727272727272727,0.06818181818181818,positive
BREAKING: NCAA will not allow spectators at its games due to coronavirus,2020-03-11 20:46:49,0.375,-0.125,negative
UNITED STATES: All universities in Florida ordered to move to online teaching to prevent coronavirus spread,2020-03-11 20:26:37,0.0,0.0,neutral
JUST IN: E3 gaming convention set to be held in Los Angeles has been cancelled due to coronavirus fears,2020-03-11 20:20:32,0.375,-0.125,negative
BREAKING: New York City set to cancel St. Patrick's Day Parade for the first time in over 250 years amid coronavirus fears,2020-03-11 20:15:02,0.34040404040404043,0.04545454545454545,positive
JUST IN: CBS building in Manhattan has been closed after two employees tested positive for coronavirus,2020-03-11 20:09:59,0.3227272727272727,0.06363636363636363,positive
"Countries with most coronavirus deaths.

China: 3158
Italy: 827
Iran: 354
S Korea: 61
Spain: 54
France: 48
US: 31
J… https://t.co/H8i9gbLKHL",2020-03-11 20:00:25,0.0,0.0,neutral
JUST IN: Denmark to close schools and universities over coronavirus concerns,2020-03-11 19:45:27,0.0,0.0,neutral
"JUST IN: 196 new coronavirus deaths in Italy, raising death toll to 827",2020-03-11 19:44:50,0.45454545454545453,0.13636363636363635,positive
JUST IN: Angela Merkel says that experts claim that between 60-70% of Germany's population could become infected by coronavirus.,2020-03-11 11:19:30,0.0,0.0,neutral
BREAKING: 11 new coronavirus deaths in Spain,2020-03-11 11:12:58,0.45454545454545453,0.13636363636363635,positive
"BREAKING: 63 new coronavirus deaths in Iran, raising death toll to 354.",2020-03-11 10:55:10,0.45454545454545453,0.13636363636363635,positive
JUST IN: Italy announces €25 billion package to deal with coronavirus,2020-03-11 10:44:55,0.0,0.0,neutral
JUST IN: Second coronavirus death in Lebanon,2020-03-11 10:04:55,0.0,0.0,neutral
JUST IN: Eight new coronavirus cases in Lebanon,2020-03-11 09:57:22,0.45454545454545453,0.13636363636363635,positive
"JUST IN: Poland to close schools, museums and cinemas amid coronavirus concerns",2020-03-11 09:55:02,0.0,0.0,neutral
JUST IN: Kiev to close universities and schools over coronavirus concerns,2020-03-11 09:53:54,0.0,0.0,neutral
BREAKING: First coronavirus death in Indonesia,2020-03-11 06:16:32,0.3333333333333333,0.25,positive
JUST IN: Number of coronavirus cases in the United States reaches 1000,2020-03-11 03:09:16,0.0,0.0,neutral
JUST IN: Eight new coronavirus cases in Florida,2020-03-11 03:08:47,0.45454545454545453,0.13636363636363635,positive
JUST IN: Panama confirms first coronavirus death,2020-03-11 01:35:42,0.3333333333333333,0.25,positive
BREAKING: Six new coronavirus deaths in South Korea,2020-03-11 01:18:13,0.45454545454545453,0.13636363636363635,positive
JUST IN: Coachella music festival postponed till October due to coronavirus,2020-03-10 23:17:51,0.375,-0.125,negative
BREAKING: British Health Minister tests positive for coronavirus,2020-03-10 22:39:02,0.2727272727272727,0.11363636363636363,positive
BREAKING: British member of parliament tests positive for coronavirus,2020-03-10 22:37:14,0.2727272727272727,0.11363636363636363,positive
JUST IN: First coronavirus case in Turkey,2020-03-10 21:56:45,0.3333333333333333,0.25,positive
"JUST IN: Turkey's health minister to make a statement, with expectations that it will be related to coronavirus.",2020-03-10 21:18:00,0.4,0.0,neutral
JUST IN: Nine new cases of coronavirus in Brazil,2020-03-10 20:56:36,0.45454545454545453,0.13636363636363635,positive
BREAKING: Two new coronavirus deaths in Washington state,2020-03-10 20:43:27,0.45454545454545453,0.13636363636363635,positive
JUST IN: Bernie Sanders cancels rally in Ohio over coronavirus concerns,2020-03-10 20:15:26,0.0,0.0,neutral
JUST IN: Denmark reports 174 new cases of coronavirus in the past 24 hours,2020-03-10 19:57:30,0.3522727272727273,-0.05681818181818182,negative
BREAKING: 51 new cases of coronavirus in Massachusetts,2020-03-10 19:52:59,0.45454545454545453,0.13636363636363635,positive
JUST IN: Spanish football's top two divisions will play behind closed doors in the next two weeks amid coronavirus outbreak,2020-03-10 12:26:33,0.26,-5.551115123125783e-18,negative
"BREAKING: 54 new coronavirus deaths in Iran, raising death toll to 291",2020-03-10 11:06:36,0.45454545454545453,0.13636363636363635,positive
JUST IN: First coronavirus death in Lebanon,2020-03-10 10:31:53,0.3333333333333333,0.25,positive
JUST IN: Mongolia puts its capital under lockdown amid coronavirus case,2020-03-10 03:46:04,0.0,0.0,neutral
JUST IN: Global coronavirus death toll reaches 4000,2020-03-10 01:51:13,0.0,0.0,neutral
JUST IN: 17 new coronavirus deaths in China,2020-03-10 00:13:21,0.45454545454545453,0.13636363636363635,positive
JUST IN: France's Minister of Culture has been infected with coronavirus but is well,2020-03-09 22:52:08,0.0,0.0,neutral
JUST IN: Trump says that coronavirus 'blindsided the world',2020-03-09 22:50:29,0.0,0.0,neutral
JUST IN: President Trump says he will ask the Senate to consider a payroll tax cut to stimulate the economy amid coronavirus outbreak,2020-03-09 22:37:43,0.0,0.0,neutral
"JUST IN: American states of New Jersey, Ohio and Rhode Island declare states of emergency over coronavirus outbreak",2020-03-09 22:12:19,0.22727272727272727,0.06818181818181818,positive
JUST IN: Australia's PM says coronavirus is more like a 'bad flu' and far less deadly than SARS and MERS,2020-03-09 22:07:43,0.5333333333333333,-0.24166666666666664,negative
JUST IN: Australia's Qantas has grounded eight of its A380 planes amid falls in travel due to coronavirus,2020-03-09 22:00:09,0.375,-0.125,negative
JUST IN: Australia's Prime Minister says economic impact of coronavirus outbreak on his country could be bigger tha… https://t.co/sNpzRRsccw,2020-03-09 21:53:35,0.35,0.1,positive
BREAKING: Illinois declares state of emergency over coronavirus outbreak,2020-03-09 20:52:02,0.0,0.0,neutral
JUST IN: Seven confirmed cases of coronavirus in South Africa,2020-03-09 13:05:26,1.0,0.4,positive
JUST IN: Thirteen new coronavirus cases in Indonesia,2020-03-09 13:02:19,0.45454545454545453,0.13636363636363635,positive
JUST IN: Six new coronavirus cases in the Palestinian Territories,2020-03-09 12:20:11,0.45454545454545453,0.13636363636363635,positive
BREAKING: Eight new coronavirus deaths in Spain,2020-03-09 11:11:19,0.45454545454545453,0.13636363636363635,positive
BREAKING: Iran coronavirus death toll rises to 237,2020-03-09 10:56:36,0.0,0.0,neutral
JUST IN: Ten new coronavirus cases in the Philippines,2020-03-09 08:55:12,0.22727272727272727,0.06818181818181818,positive
"BREAKING: Confirmed coronavirus infections worldwide pass 110,000",2020-03-09 04:30:42,1.0,0.4,positive
JUST IN: First cases of coronavirus in Albania,2020-03-09 00:05:57,0.3333333333333333,0.25,positive
BREAKING: Senator Ted Cruz says he interacted with person at CPAC conference who later tested positive for coronavirus,2020-03-08 23:20:53,0.2727272727272727,0.11363636363636363,positive
JUST IN: Number of coronavirus cases in Egypt rises to 55,2020-03-08 21:29:34,0.0,0.0,neutral
"JUST IN: Third person, with pre-existing illness, dies in the UK from coronavirus.",2020-03-08 21:29:01,0.0,0.0,neutral
BREAKING: World Health Organisation has praised Italy's move to put northern regions under lockdown due to coronavirus outbreak,2020-03-08 11:40:40,0.375,-0.125,negative
JUST IN: Two new coronavirus cases in Wales,2020-03-08 11:18:34,0.45454545454545453,0.13636363636363635,positive
JUST IN: Three new coronavirus cases in Qatar,2020-03-08 11:16:58,0.45454545454545453,0.13636363636363635,positive
"BREAKING: 49 new coronavirus deaths in Iran, raising the country's death toll to 194",2020-03-08 10:43:49,0.45454545454545453,0.13636363636363635,positive
"BREAKING: Confirmed coronavirus infections worldwide pass 105,000",2020-03-08 10:40:22,1.0,0.4,positive
BREAKING: Iran coronavirus death toll rises to 194,2020-03-08 10:39:34,0.0,0.0,neutral
BREAKING: First cases of coronavirus in Bangladesh,2020-03-08 10:38:59,0.3333333333333333,0.25,positive
JUST IN: Four new coronavirus cases in Saudi Arabia,2020-03-08 09:10:27,0.45454545454545453,0.13636363636363635,positive
JUST IN: Bahrain Grand Prix to be participant-only due to coronavirus,2020-03-08 08:09:52,0.6875,0.1875,positive
"JUST IN: The Grand Princess cruise ship, carrying several coronavirus patients, will dock in the Port of Oakland in coming hours.",2020-03-08 06:05:41,0.5,0.25,positive
"BREAKING: Italy is set to close down cinemas, museums and theatres across the country amid coronavirus outbreak",2020-03-08 05:13:09,0.0,0.0,neutral
JUST IN: Vermont reports first case of coronavirus,2020-03-08 03:46:22,0.3333333333333333,0.25,positive
BREAKING: Italy's Prime Minister signs decree that will put fourteen provinces on lockdown amid coronavirus outbreak,2020-03-08 03:26:41,0.0,0.0,neutral
JUST IN: Missouri reports first case of coronavirus,2020-03-08 01:12:12,0.3333333333333333,0.25,positive
JUST IN: Kansas and Virginia report first cases of coronavirus,2020-03-08 00:55:33,0.3333333333333333,0.25,positive
JUST IN: 27 new coronavirus deaths in China,2020-03-08 00:45:00,0.45454545454545453,0.13636363636363635,positive
JUST IN: 45 new cases of coronavirus in New York today,2020-03-07 23:35:22,0.45454545454545453,0.13636363636363635,positive
"BREAKING: First coronavirus death in Argentina, the first in South America",2020-03-07 22:45:06,0.3333333333333333,0.25,positive
JUST IN: First case of coronavirus in Washington D.C.,2020-03-07 22:44:36,0.3333333333333333,0.25,positive
JUST IN:  First cases of coronavirus in Bulgaria,2020-03-07 22:32:41,0.3333333333333333,0.25,positive
JUST IN: Six new coronavirus cases in San Francisco,2020-03-07 21:45:56,0.45454545454545453,0.13636363636363635,positive
JUST IN: South Africa's second case of coronavirus has been confirmed,2020-03-07 11:22:32,0.5,0.2,positive
